country,year,shock_G_I,shock_G_C,trade_z_lag1,debt_z_lag1,liq_z_lag1,log_gdp_pc_z_lag1
IRL,2021,-0.1399769833405663,-0.011882698229778573,4.009690113098763,-0.15857792169273213,0.4701930513039929,2.117910932339094
IRL,2022,0.024156462949993348,-0.0015633050535373387,4.3736117961709935,-0.2825082157267858,0.5250714444672143,2.484028087304587
IRL,2023,-0.05154724524522339,0.02246975419423953,4.183718056911233,-0.5413848299312534,0.8322845731288613,2.619277288861628
IRL,2024,0.11914331048692961,0.01931363833538083,,-0.5744329083403344,0.7113935841528984,2.5035959665043164
IRL,2025,0.10465830297828485,0.004748362501773139,,-0.6708231370334873,0.648491257738272,2.5271836396542633
POL,2021,-0.09707834890815237,-0.007172063285813209,-0.4005052151403311,-0.1668399412950023,0.6973004446159536,-0.40527896982147465
POL,2022,-0.07302813712903355,-0.011225493286624545,-0.36193149995910545,-0.26598417652224526,0.6891327731241986,-0.21554481338651493
POL,2023,0.17659130529841868,0.0034974551924337794,-0.16113002632933232,-0.3816524509540287,0.8034260382130343,-0.13765713951881495
POL,2024,-0.07053365685961627,0.04867011226445798,,-0.3623744052153981,0.7246708678266773,-0.12071546501982447
POL,2025,-0.029927690464830847,0.01100018291318089,,-0.21641205890862386,0.6885771594509644,-0.029371054281089024
